N	trait_mean	trait_var	age_MY
50	4.76	0.056644	0
50	4.72	0.053490438	0.1197115
50	4.75	0.063378063	0.2553846
50	4.7	0.08491396	0.4987981
50	4.71	0.059985806	0.6384615
50	4.62	0.074299856	0.7222596
50	4.75	0.092416	0.7581731
50	4.68	0.052587662	0.8180288
50	4.65	0.077841	0.8427692
50	4.48	0.077150618	0.9377404
50	4.47	0.07193124	0.9975962
50	4.52	0.043230726	1.04149
50	4.46	0.103118054	1.13726
50	4.56	0.06994967	1.197115
50	4.45	0.094279703	1.256971
50	4.52	0.102989646	1.316827
50	4.47	0.084419303	1.384663
50	4.37	0.066476309	1.481231
50	4.51	0.04883658	1.596154
50	4.41	0.063186877	1.65601
50	4.4	0.08690704	1.715865
50	4.37	0.09899833	1.775721
50	4.36	0.085334094	1.86351
50	4.14	0.049979074	1.955288
50	4.33	0.04687225	2.015144
50	4.37	0.045851657	2.075
50	4.27	0.033712632	2.098942
50	4.3	0.06220036	2.159596
50	4.25	0.071690063	2.238606
50	4.31	0.056192703	2.334375
50	4.28	0.06594624	2.394231
50	4.1	0.05461569	2.454087
50	4.19	0.081179406	2.478029
50	4.06	0.057379412	2.61849
50	4.01	0.074354382	2.653606
50	3.94	0.035766374	2.773317
50	4.06	0.063362958	2.79726
50	3.92	0.06492304	2.857115
50	3.96	0.04743684	2.917769
50	3.96	0.05458765	3.032692
50	3.95	0.03301489	3.092548
50	3.9	0.03956121	3.11649
50	3.95	0.08088336	3.152404
50	3.98	0.058942128	3.21226
50	3.91	0.051429168	3.272115
50	3.96	0.081293414	3.376663
50	4.01	0.05788836	3.556231
50	3.89	0.049164193	3.695096
50	3.87	0.035959537	3.802837
50	3.96	0.036130406	3.922548
50	4.01	0.048642303	4.102115
50	3.9	0.04435236	4.181923
50	3.84	0.058525286	4.25375
50	3.9	0.03080025	4.36149
50	3.85	0.07683984	4.453269
50	3.93	0.045037328	4.608894
50	3.8	0.04691556	4.728606
50	3.68	0.062620058	4.824375
50	3.7	0.07907344	4.928125
50	3.64	0.037218126	5.107692
50	3.56	0.06210064	5.243365
50	3.71	0.029124836	5.486779
50	3.59	0.044863476	5.546635
50	3.44	0.05633977	5.746154
50	3.55	0.05161984	5.865865
50	3.57	0.13259794	6.244952
50	3.46	0.023177018	6.504327
50	3.25	0.038025	6.74375
50	3.41	0.061966145	7.003125
50	3.27	0.030036356	7.2625
50	3.39	0.021248893	7.637596
50	3.3	0.07502121	8.166322
